60289;BORÓW KOL. 2  [13/71];51.110704;22.205284
60290;BORÓW KOL. 3  [13/72];51.107032;22.221828
60291;BORÓW KOL. 4  [13/73];         ;         
60292;BORÓW KOL. 5  [13/74];         ;         
60293;BORÓW KOL. 6  [13/75];         ;         
30025;BORYSÓW 1;51.499647;22.037394
30026;BORYSÓW 2;51.509839;22.039304
30027;BORYSÓW 3;51.507672;22.051792
30028;BORYSÓW 4;51.499947;22.053466
31202;BORYSÓW 5;51.500720;22.026129
60271;BORZECHÓW 2  [13/44];51.091314;22.282944
60234;BORZECHÓW 3  [13/45];51.092587;22.276197
60270;BORZECHÓW KOL. 1  [13/107];51.091795;22.301302
60232;BORZECHÓW KOL. 2  [13/108];51.087383;22.321017
60272;BORZECHÓW MBM  [13/46];51.176967;22.272317
60184;BORZECHÓW WODOCIĄG -  [13/47];51.090263;22.274561
60035;BÓR 1  [4/31];         ;         
60520;BÓR 2  [4/32];51.019917;21.854650
35319;BRACIEJOWICE 1;51.177734;21.817272
35320;BRACIEJOWICE 2;51.175719;21.816731
35321;BRACIEJOWICE 3;51.184465;21.815107
35322;BRACIEJOWICE 4;51.176645;21.830542
35393;BRACIEJOWICE 5;51.182111;21.807836
35018;BRONICE 1;51.331247;22.214472
35318;BRONICE 10;51.351961;22.193236
35019;BRONICE 2;51.335153;22.220750
35020;BRONICE 3;51.334339;22.230614
35021;BRONICE 4;51.344053;22.216617
35022;BRONICE 5;         ;         
35023;BRONICE 6;51.348622;22.205294
35024;BRONICE 7;51.351019;22.221506
35315;BRONICE 8;51.340806;22.225278
35317;BRONICE 9;51.338036;22.207867
30029;BRONISŁAWKA 1;51.470672;22.179639
31126;BRONISŁAWKA 2;51.473206;22.190386
30030;BRONOWICE 1;51.425289;21.901172
31632;BRONOWICE 10;51.430328;21.898725
30031;BRONOWICE 2;51.434567;21.906608
30032;BRONOWICE 3;51.445089;21.912564
30033;BRONOWICE 4;51.430286;21.914814
31371;BRONOWICE 5;51.436381;21.912550
31372;BRONOWICE 6;51.437947;21.901794
31373;BRONOWICE 7;51.435436;21.890189
31223;BRONOWICE 8;51.430069;21.927992
31426;BRONOWICE 9;51.425700;21.923631
30034;BRUSÓW 1;51.640720;22.014520
30035;BRUSÓW 2;51.635849;21.995573
30036;BRUSÓW 3;51.642233;22.023168
30038;BRZEŚCE STARE;51.298211;21.842222
30051;BRZEZINKA K/RYK;51.620958;21.948216
30042;BRZEZINY 1;51.625958;21.823661
30043;BRZEZINY 2;51.649164;21.838672
30044;BRZEZINY 3;51.640047;21.838419
30045;BRZEZINY 4;51.640236;21.847119
30046;BRZEZINY 5;51.615561;21.839397
30048;BRZEZINY 7;51.623436;21.819494
30049;BRZEZINY 8;51.625636;21.832900
30037;BRZEŹCE 1 K/D;51.590833;21.719394
30673;BRZEŹCE 2 K/D;51.589072;21.710340
30040;BRZEŹCE BORY 1;51.596883;21.726776
30041;BRZEŹCE BORY 2;51.608869;21.732586
31455;BRZEŹCE BORY 3;51.597294;21.737867
30039;BRZEŹCE KOL 1;51.282983;21.847503
31454;BRZEŹCE KOL 2;51.291294;21.852558
35309;BRZOZOWA 1;51.237622;21.847778
35310;BRZOZOWA 2;51.229875;21.863722
35311;BRZOZOWA 3;51.231558;21.851422
31042;BUCHAŁOWICE 1;51.344933;22.179837
35026;BUCHAŁOWICE 2;51.341535;22.189514
31043;BUCHAŁOWICE 3;51.344887;22.166592
31044;BUCHAŁOWICE 4;51.351201;22.170511
31045;BUCHAŁOWICE KOL;51.334853;22.179505
30050;BUDKI ROSOWSKIE;51.674795;21.997311
60126;BUDZYŃ  k/CHODLA  [8/1];         ;         
60459;BYSTRZYCA 1  [31/45];         ;         
60458;BYSTRZYCA 2  [31/46];         ;         
60460;BYSTRZYCA 3  [31/47];50.962331;22.397578
60545;BYSTRZYCA 4  [31/48];         ;         
60546;BYSTRZYCA 5 [31/49];         ;         
61099;BYSTRZYCA 6  [31/92];         ;         
61130;BYSTRZYCA 7 [31/7];         ;         
60461;BYSTRZYCA MAJORAT  [31/50];50.963704;22.389411
30052;CELEJÓW 1;51.335388;22.086253
30053;CELEJÓW 2;51.332181;22.072649
30054;CELEJÓW 3;51.337997;22.069717
31092;CELEJÓW 4;51.338133;22.060489
31093;CELEJÓW 5;51.332978;22.097994
31644;CELEJÓW 6;51.342189;22.085575
30055;CEZARYN 1;51.554031;22.010701
30056;CEZARYN 2;51.544096;22.009542
30057;CEZARYN 3;51.535041;21.997440
60731;CHMIELNIK 1  [10/5];51.199674;22.202361
60101;CHMIELNIK 2  [2/12];51.201576;22.192643
60580;CHMIELNIK 3 [2/13];51.198653;22.187599
60496;CHMIELNIK KOL. 1 [38/17];51.205530;22.218793
61149;CHMIELNIK KOL. 2 [10/23];         ;         
60082;CHMIELNIK MBM  [2/14];51.206314;22.197645
60344;CHODEL  1  [15/8];         ;         
60345;CHODEL  2  [15/9];51.111167;22.132417
60346;CHODEL  3  [15/10];51.107484;22.129250
60633;CHODEL 11  [15/11];51.112417;22.140483
60634;CHODEL 12  [15/12];         ;         
60343;CHODEL CHLEWNIA  [15/16];         ;         
60342;CHODEL LZNS  [15/15];         ;         
60776;CHODEL OCZYSZCZALNIA  [15/19];         ;         
60593;CHODEL SZKOŁA  [15/17];51.113051;22.130334
60347;CHODEL WODOCIĄG  [15/13];         ;         
60510;CHODEL ZALEW  [15/18];         ;         
35030;CHODLIK 1;51.212341;21.932089
35031;CHODLIK 2;51.207769;21.928267
31654;CHODLIK 3;51.205922;21.917950
30978;CHOLEWIANKA 1;51.305902;21.960865
30958;CHOLEWIANKA 2;51.297075;21.961327
35034;CHOLEWIANKA 3;51.293696;21.949954
35303;CHOLEWIANKA 4;51.301336;21.949975
31378;CHOLEWIANKA 5;51.294322;21.953572
31379;CHOLEWIANKA 6;51.295817;21.950014
31377;CHOLEWIANKA 7;51.288686;21.952336
31620;CHOLEWIANKA 8;51.303044;21.950522
30058;CHOSZCZÓW 1;51.456178;22.192067
30679;CHOSZCZÓW 2;51.455517;22.182736
30059;CHRUSTNE 1;51.612328;21.980743
30060;CHRUSTNE 2;51.617873;21.964239
30927;CHRUSTNE 3;51.609188;21.970167
31660;CHRUSZCZÓW KOL.;51.306056;22.203475
60066;CHRUŚLANKI JÓZEFOWSKIE 1  [5/39];50.995818;22.004972
60067;CHRUŚLANKI JÓZEFOWSKIE 2  [5/40];         ;         
60631;CHRUŚLANKI JÓZEFOWSKIE 3  [5/41];50.988617;22.025167
60226;CHRUŚLANKI MAZANOWSKIE 1  [12/8];         ;         
60227;CHRUŚLANKI MAZANOWSKIE 2  [12/9];51.025934;21.957878
60181;CHRUŚLANKI MAZANOWSKIE 3  [12/10];51.021025;21.940319
60182;CHRUŚLANKI MAZANOWSKIE 4  [12/11];51.013548;21.919726
60228;CHRUŚLINA 1  [12/12];51.035359;22.005635
60229;CHRUŚLINA 2  [12/13];51.035036;21.989973
60230;CHRUŚLINA 3  [12/14];         ;         
60141;CHRUŚLINA 4  [12/15];         ;         
60142;CHRUŚLINA 5  [12/16];         ;         
60139;CHRUŚLINA KOL. 1  [12/17];         ;         
60145;CHRUŚLINA KOL. 2  [12/18];         ;         
30952;CHRZĄCHÓW 1;51.414224;22.127708
30951;CHRZĄCHÓW 2;51.412618;22.145814
30953;CHRZĄCHÓW 3;51.413250;22.113172
30947;CHRZĄCHÓW 4;51.410400;22.148992
30664;CHRZĄCHÓWEK 1;51.419125;22.133236
30665;CHRZĄCHÓWEK 2;51.421926;22.123960
30666;CHRZĄCHÓWEK 3;51.418339;22.147853
30061;CHUDÓW;51.675085;22.057028
35323;CIEPIELÓWKA;51.156422;21.945458
